track_id,track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_name,duration_ms
6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019-06-14,Pop Remix,54
0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,Maroon 5,67,Memories (Dillon Francis Remix),2019-12-13,Pop Remix,00
1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,Zara Larsson,70,All the Time (Don Diablo Remix),2019-07-05,Pop Remix,16
75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,The Chainsmokers,60,Call You Mine - The Remixes,2019-07-19,Pop Remix,93
1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Lewis Capaldi,69,Someone You Loved (Future Humans Remix),2019-03-05,Pop Remix,52
7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,Beautiful People (feat. Khalid) [Jack Wins Remix],2019-07-11,Pop Remix,49
2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,Katy Perry,62,Never Really Over (R3HAB Remix),2019-07-26,Pop Remix,75
6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,Post Malone (feat. RANI) [GATTÜSO Remix],2019-08-29,Pop Remix,19
7bF6tCO3gFb8INrEDcjNT5,Tough Love - Tiësto Remix / Radio Edit,Avicii,68,Tough Love (Tiësto Remix),2019-06-14,Pop Remix,87
1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,Shawn Mendes,67,If I Can't Have You (Gryffin Remix),2019-06-20,Pop Remix,40
3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019-06-21,Pop Remix,94
3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,Ellie Goulding,67,Hate Me (R3HAB Remix),2019-08-16,Pop Remix,33
6e0CvGZf7CouOpYF8toXHC,Body On My,Loud Luxury,67,Body On My,2019-03-29,Pop Remix,07
3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,SOS (Laidback Luke Tribute Remix),2019-05-17,Pop Remix,16
55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019-07-12,Pop Remix,38
1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019-12-11,Pop Remix,30
5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,AJ Mitchell,60,All My Friends (Eden Prince Remix),2019-05-03,Pop Remix,48
3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018-12-28,Pop Remix,75
0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019-03-08,Pop Remix,04
2v3DuCVBbopteJqdM7aKQK,Let It Be Me - Sondr Remix,Steve Aoki,35,Let It Be Me (Remixes),2019-10-18,Pop Remix,66
4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,Avicii,70,Heaven (David Guetta & MORTEN Remix),2019-08-23,Pop Remix,38
3Ciaf6WgvG95TGRGxQ1yO8,All Around The World (La La La) - Marnik Remix,R3HAB,64,All Around The World (La La La) [Marnik Remix],2019-08-23,Pop Remix,67
1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019-05-08,Pop Remix,68
2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,Slow Dance (feat. Ava Max) [Sam Feldt Remix],2019-10-25,Pop Remix,48
4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019-05-24,Pop Remix,93
5dy3WUywjZcalTno1io8TQ,Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,Hold Me While You Wait (Steve Void Remix),2019-06-21,Pop Remix,00
2M9GeaCQXrV12J0wzBxIwi,One Thing Right - Firebeatz Remix,Marshmello,66,One Thing Right (Remixes),2019-08-09,Pop Remix,81
1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,Close To Me (Remixes),2019-02-01,Pop Remix,00
4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,Ava Max,62,So Am I (Toby Green Remix),2019-05-23,Pop Remix,75
1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,Nikki Vianna,30,When You Leave (Breathe Carolina Remix),2019-04-19,Pop Remix,80
1aT7vltGhkjyMI3F3aO3A4,Mother - Fedde Le Grand Remix,Charlie Puth,56,Mother (Fedde Le Grand Remix),2019-11-01,Pop Remix,25
4YaU1EjXIkdRdkOI4cCZys,Signs - Eden Prince Remix,Starley,56,Signs (Eden Prince Remix),2018-11-30,Pop Remix,00
0Fc9QSMX6fgEBgDjUax7t7,Ruin My Life - Steve James Remix,Zara Larsson,58,Ruin My Life (Remixes),2018-11-23,Pop Remix,97
7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,Ava Max,60,Torn (KREAM Remix),2019-09-05,Pop Remix,35
7p4jpmyBnOpqQ3rSGJzZ7w,Quite Miss Home - Steve Void Remix,James Arthur,60,Quite Miss Home (Steve Void Remix),2019-11-22,Pop Remix,13
4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,Love Me Less (Remixes),2019-06-21,Pop Remix,73
508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,Marshmello,59,Happier (Remixes Pt. 2),2018-11-30,Pop Remix,64
7FDaS1k08rwMoAThmzUkOZ,Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,Side Effects - Remixes,2018-07-25,Pop Remix,60
6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],2019-07-12,Pop Remix,85
5Vwgf4MVO0vLv8fbxaGGiW,Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,Paradise (Bazzi vs. Black Caviar Remix),2019-06-27,Pop Remix,15
5scxjvcdozadBoRRN0UMaM,White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,White Mercedes (EDX's Miami Sunset Remix),2019-10-25,Pop Remix,44
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,87,Higher Love,2019-06-28,Pop Remix,67
2tilX6FUl0IwFgiOYjuc6V,Unlove You,Armin van Buuren,62,Unlove You,2019-10-18,Pop Remix,60
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),Billie Eilish,83,bad guy (with Justin Bieber),2019-07-11,Pop Remix,40
478QYNLw6dhTTx4oEkhBeq,Freaking Me Out - Keanu Silva Remix,Ava Max,55,Freaking Me Out (Keanu Silva Remix),2019-11-01,Pop Remix,66
3C4fzUgIP3ahkhOBdP38GM,Heaven Can Wait - The Aston Shuffle Remix,Sia,61,Heaven Can Wait (The Aston Shuffle Remix),2019-05-24,Pop Remix,73
2k4c9ZAlIYHyXiJ4i20FO7,When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,When It Comes To You (Remixes),2019-10-25,Pop Remix,73
79zGYOcAe2VmJsyQiJX31a,Gone - The Wild Remix,Charli XCX,57,Gone (The Wild Remix),2019-08-09,Pop Remix,61
6B2NRQjtSOtqi67d72r5cx,American Boy - Brooks Remix,Estelle,56,American Boy (Brooks Remix),2019-06-14,Pop Remix,25
08rBIlTMXlF5uEHobZglxv,Million Pieces - M-22 Remix,Bastille,53,Million Pieces (M-22 Remix),2019-09-27,Pop Remix,37
1BmdqDrBU5eohtRwHBls6C,joy. (R3HAB Remix),for KING & COUNTRY,56,joy. (R3HAB Remix),2019-01-25,Pop Remix,00
5rxKInBVj0QE87KenyDiLf,Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,Crash Into Me (Settle Down Steavis Aoki Remix),2019-11-12,Pop Remix,19
3kgKVcBpBGuSeaEC0AZGlb,Old Town Road - Diplo Remix,Lil Nas X,74,Old Town Road (Diplo Remix),2019-04-29,Pop Remix,27
5qCrT9lVmIGxqB8i6bb83P,Lovers + Strangers - GATTÜSO Remix,Starley,46,Lovers + Strangers (GATTÜSO Remix),2019-11-15,Pop Remix,68
3Lv3frZVXU7Q0JEFvLIzWW,Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,Promises (with Sam Smith) [Remixes],2018-10-19,Pop Remix,17
2bZYJvVRN5EqIvAUFhUNls,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),2019-12-12,Pop Remix,86
3utdq3dPLVD4r7Vv9BnCAI,What Am I - SONDR Remix,Why Don't We,52,What Am I (SONDR Remix),2019-11-01,Pop Remix,61
1ppOGANOzMT01Cxh9jx4hN,Cool Kids,Olympis,67,Cool Kids,2019-11-01,Pop Remix,48
5Shjuje8PRcX7ueEVajrLH,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],2019-08-09,Pop Remix,00
6wKJjrWWP4qpzYbE8oQkc4,All Star - Breathe Carolina Remix,Smash Mouth,60,All Star (Breathe Carolina Remix),2019-08-23,Pop Remix,43
6EDH26ppl7R8oV4tGilCkS,Trampoline - Dave Audé Remix,SHAED,45,Melt (Deluxe),2019-12-27,Pop Remix,76
4RaN7556EogBfF80klMEX2,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],2019-07-11,Pop Remix,40
1nwoWaqzB30bD4IPqRNuex,With You - Dexter Remix,Kaskade,51,With You - The Remixes,2019-09-12,Pop Remix,13
4fDBElPGDqZQ3rJorZTm2w,Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,Safety (The Dark Heart Remixes) (feat. DJ Snake),2019-11-15,Pop Remix,00
6AZ21kPj2a0INgf3uCviVu,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],2018-09-28,Pop Remix,69
3uXHSf9sSIpOJWuC1H8DiU,Talk - Disclosure VIP,Khalid,60,Talk (Disclosure VIP),2019-03-27,Pop Remix,29
4Q9iBGT9b9CVTtDwsgQWnl,Spicy - Majestic Remix,Herve Pagez,48,Spicy (with Diplo & Charli XCX) [Remixes],2019-10-11,Pop Remix,61
6LCsZ8ARrIq0n9nr6gM2ru,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],2019-10-04,Pop Remix,14
27F9FlipD657qYRQT3qxFm,Treehouse - R3HAB Remix,James Arthur,56,Treehouse (R3HAB Remix),2019-09-13,Pop Remix,53
6B9cqNooxIyPfr3P5EB8LA,Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",2018-02-09,Pop Remix,51
05CwHjIk71RXVU40boRMnR,Call You Mine,The Chainsmokers,39,World War Joy,2019-05-31,Dance Pop,53
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,83,Magnets EP,2019-05-24,Dance Pop,44
5icOoE6VgqFKohjWWNp0Ac,Here With Me,Marshmello,83,Here With Me,2019-03-08,Dance Pop,47
6GIRtKNXokeu25nn7U6Hu8,Easier - Seeb Remix,5 Seconds of Summer,71,Easier (Seeb Remix),2019-07-12,Dance Pop,67
4PkIDTPGedm0enzdvilLNd,Sixteen,Ellie Goulding,81,Sixteen,2019-04-12,Dance Pop,72
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,85,Never Really Over,2019-05-31,Dance Pop,23
4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),Gryffin,76,All You Need To Know (feat. Calle Lehmann),2019-03-27,Dance Pop,59
5YkmS18BehACOhIIeUqe6l,I Miss Myself (with HRVY),NOTD,71,I Miss Myself (with HRVY),2019-05-03,Dance Pop,12
3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],2019-10-04,Dance Pop,55
6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),The Chainsmokers,67,World War Joy...Takeaway,2019-07-24,Dance Pop,93
3OTSBoYKO7HzGVj8Bu2OH9,All the Time,Zara Larsson,74,All the Time,2019-06-21,Dance Pop,12
4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),Jonas Blue,81,What I Like About You (feat. Theresa Rex),2019-03-22,Dance Pop,96
1xK7enJZVdv37fnnxoZlPq,With You,Kaskade,71,With You,2019-06-14,Dance Pop,40
1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),Gryffin,75,Body Back (feat. Maia Wright),2019-10-18,Dance Pop,34
6aoGtdWXBkYQ2O2wnyIz2x,Not Ok,Kygo,73,Not Ok,2019-05-23,Dance Pop,44
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,Zara Larsson,79,Ruin My Life,2018-10-18,Dance Pop,32
18W92Zm1KjLCbUIszOhpkD,I Wanna Know (feat. Bea Miller),NOTD,74,I Wanna Know (feat. Bea Miller),2018-03-16,Dance Pop,39
3D37T7euWvVJ45evRmriIh,Better With You,3LAU,63,Better With You,2019-03-01,Dance Pop,41
3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,Dance Pop,16
6XqvFyJGdUD5IWee02ARKU,Polaroid,Jonas Blue,16,Blue,2018-11-09,Dance Pop,77
575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,Shawn Mendes,75,Lost In Japan (Remix),2018-09-27,Dance Pop,53
70YPzqSEwJvAIQ6nMs1cjY,In Your Arms (with X Ambassadors),ILLENIUM,75,ASCEND,2019-08-16,Dance Pop,30
7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,Loud Luxury,55,I'm Not Alright,2019-07-12,Dance Pop,62
6nDKrPlXdpomGBgAlO7UdP,SOS,Avicii,30,SOS,2019-04-10,Dance Pop,02
2b1BwUGGyKq0CoJd8G1B6M,Harder,Jax Jones,62,Snacks,2019-07-12,Dance Pop,53
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,84,The Middle,2018-01-23,Dance Pop,32
1lGVyEkGHUz7Pg78QGaS4a,Wanted,NOTD,70,Wanted,2019-09-27,Dance Pop,98
6ksMjdec8b6C45TUawkAdu,Crash Into Me,Steve Aoki,37,Crash Into Me,2019-07-12,Dance Pop,93
1vsQb8n0icvMsFnL9663LM,Need Your Love (with Noah Kahan),Gryffin,70,Gravity,2019-10-24,Dance Pop,87
6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,Good Things Fall Apart (with Jon Bellion),2019-05-13,Dance Pop,68
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,85,Ivy To Roses (Mixtape),2019-01-18,Dance Pop,80
1pBO9JDqh1y3TbCKEO1OvG,Nostalgic,A R I Z O N A,36,Nostalgic,2019-06-18,Dance Pop,68
1LjxmkW3xRQP2HzswhYyyc,Let It Be Me,Steve Aoki,52,Let It Be Me,2019-09-06,Dance Pop,61
7FCZhkhzEUVNUAlGauNKIe,Lovers + Strangers,Starley,58,Lovers + Strangers,2019-10-11,Dance Pop,01
2JoIjuzRplpYGvvLpSW2on,Sad Song (feat. TINI),Alesso,72,Sad Song (feat. TINI),2019-06-14,Dance Pop,24
4PUWpNtDejQwwa80LjvxXl,Sleepless Nights,ayokay,64,In the Shape of a Dream,2018-08-31,Dance Pop,80
1nufXiTCTTAeJfO9hLHvO8,Save Me Tonight,ARTY,63,Save Me Tonight,2019-01-25,Dance Pop,79
1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,Pretty Girl (Cheat Codes X CADE Remix),2017-03-02,Dance Pop,13
1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),Martin Garrix,76,No Sleep (feat. Bonn),2019-02-21,Dance Pop,95
0Ev562zA4pmUsBqjxsxxdx,Feel Good (feat. Daya),Gryffin,74,Feel Good (feat. Daya),2017-03-03,Dance Pop,56
5l8AUgBTWuOECwVgYtaUyE,Endless Summer,Cashae,56,Endless Summer,2019-07-12,Dance Pop,72
35MKhw2YBKApmD7fAnPERC,Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,Faith (with Dolly Parton) [feat. Mr. Probz],2019-10-25,Dance Pop,05
3Kuu5vASpXK8oRsxOvau6P,Think About You,Kygo,71,Think About You,2019-02-14,Dance Pop,67
7KW3XQV5Or5CF57MYVj5h4,Party For One,Carly Rae Jepsen,64,Dedicated,2019-05-17,Dance Pop,33
3M9Apu4OZfylLTFKvgEtKa,Ritual,Tiësto,82,Ritual,2019-05-31,Dance Pop,96
5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),Silk City,81,Electricity (with Dua Lipa),2018-09-06,Dance Pop,73
6QcrReLyoun4xrPVsZ5OJE,Lie,Shallou,41,Lie,2018-01-25,Dance Pop,46
1kQhi22kyluRCnIPAXtxEZ,I Found You (with Calvin Harris),benny blanco,62,FRIENDS KEEP SECRETS,2018-12-07,Dance Pop,65
5cE201rNvIkryS8N1dJ5nR,Now That I Found You,Carly Rae Jepsen,5,Now That I Found You / No Drug Like Me,2019-02-27,Dance Pop,18
4AkCyd9Nlbt8JprQq9V6o2,All Comes Back To You,R3HAB,72,All Comes Back To You,2019-10-25,Dance Pop,12
48GmVZwvkoVC5StfMLfNJE,Need U,DVBBS,24,Need U,2019-08-16,Dance Pop,21
01iyINEYgPQ7ThMZuHUsqS,First Love,Lost Kings,58,First Love,2017-10-13,Dance Pop,28
6BwClo5W3VvTzJv8bvZXDD,Something Real,Armin van Buuren,65,Something Real,2019-07-12,Dance Pop,31
108r6pnZHStBIktpyyps9w,TIME,Alesso,64,ALESSO MIXTAPE - PROGRESSO VOLUME 1,2019-03-08,Dance Pop,00
24Hzd4FPhz0HPx9jhM9cap,Something About You (with Rudimental),Elderbrook,53,Distinction EP,2019-08-09,Dance Pop,00
4aTtHoSBB0CuQGA6vXBNyp,Home (feat. Bonn),Martin Garrix,72,Home (feat. Bonn),2019-08-16,Dance Pop,67
0gIZLyF3MWQVcspzrLWYod,Simple (STVW Remix),FANNYPACK,39,Simple (STVW Remix),2019-04-12,Dance Pop,54
6y1UtRcHQU07aUs3oxZ8Yn,Sorry,Joel Corry,75,Sorry,2019-04-05,Dance Pop,40
54z0kLF0skj0Hdb9wCqPJt,Spicy (with Diplo & Charli XCX),Herve Pagez,60,Spicy (with Diplo & Charli XCX),2019-05-30,Dance Pop,59
6mPstbtzhyqKmwefY4eVWD,The Upside (feat. Elle King),Lindsey Stirling,18,The Upside (feat. Elle King) / The Upside / Underground,2019-08-02,Dance Pop,02
6uBhi9gBXWjanegOb2Phh0,Stay,Zedd,79,Stay,2017-02-23,Dance Pop,91
1Pe3Tnahd3nNcKrTvNvNvW,Million Voices,Armin van Buuren,60,Balance,2019-10-25,Dance Pop,50
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,Dance Pop,00
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),2016-07-29,Dance Pop,60
2IDHoSlbG0CKH9rhq68wTb,Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,Say My Name Remixes,2014-10-13,Dance Pop,91
60wwxj6Dd9NJlirf84wr2c,Clarity,Zedd,74,Clarity,2012-01-01,Dance Pop,27
6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),Clean Bandit,80,Solo (feat. Demi Lovato),2018-05-17,Dance Pop,53
3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Martin Garrix,81,Scared to Be Lonely,2017-01-27,Dance Pop,83
7iNIg7XDEaYECfWD5dJ9Va,Friends (with BloodPop®),Justin Bieber,76,Friends (with BloodPop®),2017-08-17,Dance Pop,67
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),The Black Eyed Peas,96,RITMO (Bad Boys For Life),2019-10-12,Dance Pop,14
5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),Calvin Harris,84,Promises (with Sam Smith),2018-08-17,Dance Pop,09
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),Riton,86,Turn Me On (feat. Vula),2019-09-13,Dance Pop,74
6jq6rcOikCZAmjliAgAmfT,Light,San Holo,68,Light,2017-02-10,Dance Pop,53
762UXiwEHYY97VL45sAUPR,2U,David Guetta,66,2U,2017-06-09,Dance Pop,07
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,83,Memories...Do Not Open,2017-04-07,Dance Pop,60
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,85,One Kiss (with Dua Lipa),2018-04-06,Dance Pop,47
3zU9rdflI65tK4dkkNSp77,Heroes (we could be),Alesso,73,Forever,2015-05-26,Dance Pop,13
12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),Kygo,69,It Ain't Me,2017-02-17,Dance Pop,81
4kte3OcW800TPvOVgrLLj8,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,R.E.D. (Deluxe Edition),2012-01-01,Dance Pop,27
